,token_lower,count_nusc,percentage_of_all_tokens_nusc,count_uoe,percentage_of_all_tokens_uoe
1008,narrow,4,0.00020883693490030648,3,0.0005528578141844886
691,gable,8,0.00041767386980061296,3,0.0005528578141844886
1415,spontaneous,4,0.00020883693490030648,3,0.0005528578141844886
200,alphabetical,6,0.0003132554023504597,3,0.0005528578141844886
1528,typewritten,8,0.00041767386980061296,3,0.0005528578141844886
817,injured,778,0.04061878383810961,3,0.0005528578141844886
443,critic,6,0.0003132554023504597,3,0.0005528578141844886
771,hungry,2,0.00010441846745015324,2,0.00036857187612299245
1347,severe,7,0.00036546463607553634,2,0.00036857187612299245
446,crucial,2,0.00010441846745015324,2,0.00036857187612299245
552,electoral,7,0.00036546463607553634,2,0.00036857187612299245
1069,ongoing,7,0.00036546463607553634,2,0.00036857187612299245
539,ed,2,0.00010441846745015324,2,0.00036857187612299245
1021,neoplastic,2,0.00010441846745015324,2,0.00036857187612299245
663,forty,2,0.00010441846745015324,2,0.00036857187612299245
1549,undertaken,16,0.0008353477396012259,2,0.00036857187612299245
890,lengthy,16,0.0008353477396012259,2,0.00036857187612299245
888,legible,16,0.0008353477396012259,2,0.00036857187612299245
1416,square,15,0.0007831385058761493,2,0.00036857187612299245
268,axonometric,15,0.0007831385058761493,2,0.00036857187612299245
1455,sustainable,15,0.0007831385058761493,2,0.00036857187612299245
275,belgian,15,0.0007831385058761493,2,0.00036857187612299245
1188,prestigious,18,0.0009397662070513792,2,0.00036857187612299245
775,identifiable,1,5.220923372507662e-05,2,0.00036857187612299245
384,coloured,18,0.0009397662070513792,2,0.00036857187612299245
978,mineral,2,0.00010441846745015324,2,0.00036857187612299245
584,et,1,5.220923372507662e-05,2,0.00036857187612299245
338,centre,2,0.00010441846745015324,2,0.00036857187612299245
655,foremost,2,0.00010441846745015324,2,0.00036857187612299245
808,industrial,43,0.0022449970501782946,2,0.00036857187612299245
1518,tumour,2,0.00010441846745015324,2,0.00036857187612299245
723,graph,2,0.00010441846745015324,2,0.00036857187612299245
863,lake,2,0.00010441846745015324,2,0.00036857187612299245
1545,undergraduate,7,0.00036546463607553634,2,0.00036857187612299245
1294,romantic,2,0.00010441846745015324,2,0.00036857187612299245
1127,perennial,2,0.00010441846745015324,2,0.00036857187612299245
193,aerial,37,0.0019317416478278348,2,0.00036857187612299245
1152,poet,35,0.0018273231803776816,2,0.00036857187612299245
1439,suggested,34,0.0017751139466526049,2,0.00036857187612299245
564,emotional,6,0.0003132554023504597,2,0.00036857187612299245
1453,surprising,2,0.00010441846745015324,2,0.00036857187612299245
1004,mutual,6,0.0003132554023504597,2,0.00036857187612299245
895,level,6,0.0003132554023504597,2,0.00036857187612299245
1577,upcoming,58,0.0030281355560544438,2,0.00036857187612299245
1569,unsigned,21,0.001096393908226609,2,0.00036857187612299245
1248,real,7,0.00036546463607553634,2,0.00036857187612299245
1638,worth,4,0.00020883693490030648,2,0.00036857187612299245
1631,wish,7,0.00036546463607553634,2,0.00036857187612299245
1547,underlined,1,5.220923372507662e-05,2,0.00036857187612299245
276,beneficial,1,5.220923372507662e-05,2,0.00036857187612299245
692,gaelic,1,5.220923372507662e-05,2,0.00036857187612299245
236,archival,1,5.220923372507662e-05,2,0.00036857187612299245
1615,watery,1,5.220923372507662e-05,2,0.00036857187612299245
961,medicinal,1,5.220923372507662e-05,2,0.00036857187612299245
1334,seminar,1,5.220923372507662e-05,2,0.00036857187612299245
1337,sentimental,1,5.220923372507662e-05,2,0.00036857187612299245
1339,sequential,1,5.220923372507662e-05,2,0.00036857187612299245
487,di,1,5.220923372507662e-05,2,0.00036857187612299245
1059,obvious,1,5.220923372507662e-05,2,0.00036857187612299245
525,e,1,5.220923372507662e-05,2,0.00036857187612299245
347,chest,1,5.220923372507662e-05,2,0.00036857187612299245
514,dominant,1,5.220923372507662e-05,2,0.00036857187612299245
568,endemic,1,5.220923372507662e-05,2,0.00036857187612299245
1224,publish,1,5.220923372507662e-05,2,0.00036857187612299245
411,congenital,1,5.220923372507662e-05,2,0.00036857187612299245
434,corinthian,1,5.220923372507662e-05,2,0.00036857187612299245
1467,teacher,1,5.220923372507662e-05,2,0.00036857187612299245
1387,socialist,9,0.0004698831035256896,2,0.00036857187612299245
1117,pasted,1,5.220923372507662e-05,2,0.00036857187612299245
225,applicable,1,5.220923372507662e-05,2,0.00036857187612299245
1055,oblique,1,5.220923372507662e-05,2,0.00036857187612299245
246,ascorbic,1,5.220923372507662e-05,2,0.00036857187612299245
1389,solar,9,0.0004698831035256896,2,0.00036857187612299245
826,integrated,9,0.0004698831035256896,2,0.00036857187612299245
1328,secret,9,0.0004698831035256896,2,0.00036857187612299245
393,communist,1,5.220923372507662e-05,2,0.00036857187612299245
999,municipal,9,0.0004698831035256896,2,0.00036857187612299245
1444,supplement,9,0.0004698831035256896,2,0.00036857187612299245
1342,serious,9,0.0004698831035256896,2,0.00036857187612299245
696,genealogical,9,0.0004698831035256896,2,0.00036857187612299245
428,controversial,9,0.0004698831035256896,2,0.00036857187612299245
1360,sick,9,0.0004698831035256896,2,0.00036857187612299245
527,ear,1,5.220923372507662e-05,2,0.00036857187612299245
1425,stereotyped,1,5.220923372507662e-05,2,0.00036857187612299245
296,botany,14,0.0007309292721510727,2,0.00036857187612299245
1641,wrought,1,5.220923372507662e-05,2,0.00036857187612299245
284,bigger,2,0.00010441846745015324,2,0.00036857187612299245
547,eighteen,2,0.00010441846745015324,2,0.00036857187612299245
342,characteristic,2,0.00010441846745015324,2,0.00036857187612299245
747,healthy,6,0.0003132554023504597,2,0.00036857187612299245
1612,warm,2,0.00010441846745015324,2,0.00036857187612299245
238,armed,2,0.00010441846745015324,2,0.00036857187612299245
1592,vegetable,2,0.00010441846745015324,2,0.00036857187612299245
1307,salary,2,0.00010441846745015324,2,0.00036857187612299245
1079,orchestra,2,0.00010441846745015324,2,0.00036857187612299245
343,charitable,2,0.00010441846745015324,2,0.00036857187612299245
328,cathedral,8,0.00041767386980061296,2,0.00036857187612299245
711,glad,8,0.00041767386980061296,2,0.00036857187612299245
1277,repetitive,2,0.00010441846745015324,2,0.00036857187612299245
437,corresponding,8,0.00041767386980061296,2,0.00036857187612299245
1083,organ,14,0.0007309292721510727,2,0.00036857187612299245
312,bronze,2,0.00010441846745015324,2,0.00036857187612299245
403,compulsory,2,0.00010441846745015324,2,0.00036857187612299245
413,conservative,12,0.0006265108047009194,2,0.00036857187612299245
934,maiden,1,5.220923372507662e-05,2,0.00036857187612299245
1550,une,1,5.220923372507662e-05,2,0.00036857187612299245
184,addressed,1,5.220923372507662e-05,2,0.00036857187612299245
1053,née,1,5.220923372507662e-05,2,0.00036857187612299245
1552,unhappy,1,5.220923372507662e-05,2,0.00036857187612299245
1120,patriotic,1,5.220923372507662e-05,2,0.00036857187612299245
253,atomic,1,5.220923372507662e-05,2,0.00036857187612299245
1073,operative,1,5.220923372507662e-05,2,0.00036857187612299245
423,contextual,12,0.0006265108047009194,2,0.00036857187612299245
1343,seventeen,4,0.00020883693490030648,2,0.00036857187612299245
614,factual,1,5.220923372507662e-05,2,0.00036857187612299245
1350,sharp,10,0.0005220923372507662,2,0.00036857187612299245
459,danish,11,0.0005743015709758428,2,0.00036857187612299245
1093,outline,11,0.0005743015709758428,2,0.00036857187612299245
588,eventual,11,0.0005743015709758428,2,0.00036857187612299245
940,malignant,6,0.0003132554023504597,2,0.00036857187612299245
760,holiday,1,5.220923372507662e-05,2,0.00036857187612299245
773,ideal,1,5.220923372507662e-05,2,0.00036857187612299245
1572,unsure,1,5.220923372507662e-05,2,0.00036857187612299245
559,embossed,3,0.00015662770117522986,2,0.00036857187612299245
1181,preparatory,1,5.220923372507662e-05,2,0.00036857187612299245
1138,photograph,175,0.009136615901888408,2,0.00036857187612299245
967,metal,3,0.00015662770117522986,2,0.00036857187612299245
1584,usual,3,0.00015662770117522986,2,0.00036857187612299245
455,cutaneous,1,5.220923372507662e-05,2,0.00036857187612299245
1046,novelist,5,0.0002610461686253831,2,0.00036857187612299245
1427,strange,5,0.0002610461686253831,2,0.00036857187612299245
577,epidemic,5,0.0002610461686253831,2,0.00036857187612299245
1539,uncertain,5,0.0002610461686253831,2,0.00036857187612299245
1026,newborn,5,0.0002610461686253831,2,0.00036857187612299245
932,lyric,5,0.0002610461686253831,2,0.00036857187612299245
992,mounted,5,0.0002610461686253831,2,0.00036857187612299245
419,consultant,5,0.0002610461686253831,2,0.00036857187612299245
1596,verse,5,0.0002610461686253831,2,0.00036857187612299245
1498,tiny,3,0.00015662770117522986,2,0.00036857187612299245
1003,musician,5,0.0002610461686253831,2,0.00036857187612299245
336,centenary,5,0.0002610461686253831,2,0.00036857187612299245
875,latin,5,0.0002610461686253831,2,0.00036857187612299245
623,favourable,4,0.00020883693490030648,2,0.00036857187612299245
1066,omnibus,4,0.00020883693490030648,2,0.00036857187612299245
959,medal,5,0.0002610461686253831,2,0.00036857187612299245
820,innovative,5,0.0002610461686253831,2,0.00036857187612299245
