description_id,eadid,field,rowid,adj_count,adv_count
81801,TF,unittitle,TF-06800,1.0,0.0
81802,TF,scopecontent,TF-06801,5.0,1.0
81811,TF,scopecontent,TF-06806,1.0,0.0
81817,TF,scopecontent,TF-06809,2.0,0.0
81834,TF,unittitle,TF-06817,1.0,0.0
81835,TF,scopecontent,TF-06818,1.0,0.0
81847,TF,scopecontent,TF-06824,1.0,0.0
81849,TF,scopecontent,TF-06825,1.0,0.0
81852,TF,unittitle,TF-06826,1.0,0.0
81867,TF,scopecontent,TF-06834,1.0,0.0
81880,TF,unittitle,TF-06840,1.0,0.0
81895,TF,scopecontent,TF-06866,0.0,1.0
81897,TF,scopecontent,TF-06867,2.0,0.0
81899,TF,scopecontent,TF-06868,0.0,1.0
81901,TF,scopecontent,TF-06869,2.0,0.0
81903,TF,scopecontent,TF-06870,1.0,0.0
81904,TF,unittitle,TF-06870,1.0,0.0
81908,TF,scopecontent,TF-06873,5.0,1.0
81910,TF,scopecontent,TF-06874,1.0,1.0
81911,TF,unittitle,TF-06874,1.0,0.0
81915,TF,scopecontent,TF-06878,2.0,0.0
81917,TF,scopecontent,TF-06879,3.0,0.0
81918,TF,unittitle,TF-06879,1.0,0.0
81921,TF,scopecontent,TF-06881,1.0,0.0
81923,TF,scopecontent,TF-06882,1.0,0.0
81924,TF,unittitle,TF-06882,1.0,0.0
81929,TF,scopecontent,TF-06885,1.0,0.0
81931,TF,scopecontent,TF-06886,1.0,0.0
81933,TF,scopecontent,TF-06887,3.0,0.0
81943,TF,scopecontent,TF-06892,1.0,0.0
81947,TF,scopecontent,TF-06894,2.0,0.0
81949,TF,scopecontent,TF-06895,2.0,0.0
81951,TF,scopecontent,TF-06896,5.0,1.0
81953,TF,scopecontent,TF-06897,0.0,1.0
81955,TF,scopecontent,TF-06898,1.0,0.0
81957,TF,scopecontent,TF-06899,1.0,0.0
81962,TF,unittitle,TF-06901,1.0,0.0
81963,TF,scopecontent,TF-06902,1.0,0.0
81965,TF,scopecontent,TF-06903,1.0,0.0
81967,TF,scopecontent,TF-06904,7.0,0.0
81968,TF,unittitle,TF-06904,1.0,0.0
81969,TF,scopecontent,TF-06905,1.0,0.0
81971,TF,scopecontent,TF-06906,2.0,1.0
81975,TF,scopecontent,TF-06908,3.0,0.0
81976,TF,unittitle,TF-06908,1.0,0.0
81977,TF,scopecontent,TF-06909,1.0,0.0
81979,TF,scopecontent,TF-06910,7.0,0.0
81981,TF,scopecontent,TF-06911,2.0,0.0
81982,TF,unittitle,TF-06911,1.0,0.0
81984,TF,scopecontent,TF-06913,1.0,0.0
81986,TF,unittitle,TF-06914,1.0,0.0
81987,TF,scopecontent,TF-06915,1.0,0.0
81989,TF,scopecontent,TF-06916,4.0,0.0
81990,TF,unittitle,TF-06916,1.0,0.0
81991,TF,scopecontent,TF-06917,1.0,1.0
81992,TF,unittitle,TF-06917,1.0,0.0
81993,TF,scopecontent,TF-06918,3.0,1.0
81996,TF,scopecontent,TF-06920,4.0,0.0
81998,TF,scopecontent,TF-06921,1.0,0.0
82000,TF,scopecontent,TF-06922,1.0,0.0
82002,TF,scopecontent,TF-06923,1.0,0.0
82010,TF,scopecontent,TF-06927,2.0,0.0
82011,TF,unittitle,TF-06927,1.0,0.0
82012,TF,scopecontent,TF-06928,1.0,0.0
82013,TF,unittitle,TF-06928,1.0,0.0
82016,TF,scopecontent,TF-06931,2.0,1.0
82017,TF,unittitle,TF-06931,1.0,0.0
82018,TF,scopecontent,TF-06932,5.0,0.0
82020,TF,scopecontent,TF-06933,3.0,0.0
82021,TF,unittitle,TF-06933,1.0,0.0
82022,TF,scopecontent,TF-06934,3.0,2.0
82026,TF,scopecontent,TF-06936,2.0,2.0
82028,TF,scopecontent,TF-06937,2.0,1.0
82031,TF,scopecontent,TF-06939,2.0,0.0
82033,TF,scopecontent,TF-06940,2.0,0.0
82035,TF,scopecontent,TF-06941,2.0,0.0
82037,TF,unittitle,TF-06942,2.0,0.0
82039,TF,scopecontent,TF-06944,0.0,1.0
82042,TF,scopecontent,TF-06946,1.0,0.0
82043,TF,unittitle,TF-06946,2.0,0.0
82045,TF,unittitle,TF-06948,1.0,0.0
82048,TF,scopecontent,TF-06950,1.0,0.0
82050,TF,scopecontent,TF-06951,3.0,0.0
82052,TF,scopecontent,TF-06952,6.0,0.0
82058,TF,scopecontent,TF-06955,1.0,0.0
82059,TF,unittitle,TF-06955,1.0,0.0
82060,TF,scopecontent,TF-06956,2.0,0.0
82063,TF,unittitle,TF-06957,1.0,0.0
82064,TF,scopecontent,TF-06958,1.0,0.0
82065,TF,unittitle,TF-06958,1.0,0.0
82066,TF,scopecontent,TF-06959,2.0,0.0
82070,TF,scopecontent,TF-06961,1.0,0.0
82073,TF,unittitle,TF-06962,1.0,0.0
82077,TF,scopecontent,TF-06966,3.0,0.0
82082,TF,unittitle,TF-06969,1.0,0.0
82085,TF,unittitle,TF-06972,1.0,0.0
82087,TF,scopecontent,TF-06974,3.0,0.0
82089,TF,unittitle,TF-06975,1.0,0.0
82090,TF,scopecontent,TF-06976,2.0,0.0
82092,TF,scopecontent,TF-06977,3.0,1.0
82093,TF,unittitle,TF-06977,2.0,0.0
82097,TF,scopecontent,TF-06980,1.0,1.0
82098,TF,unittitle,TF-06980,1.0,0.0
82099,TF,scopecontent,TF-06981,2.0,0.0
82101,TF,scopecontent,TF-06982,1.0,0.0
82105,TF,scopecontent,TF-06984,1.0,0.0
82110,TF,unittitle,TF-06987,1.0,0.0
82113,TF,unittitle,TF-06989,1.0,0.0
82114,TF,scopecontent,TF-06990,3.0,0.0
