token_lower,count
ongoing,7
interesting,7
"""'green""",7
flexible,7
applied,7
wish,7
draft,7
mammary,7
whilst,7
norwegian,7
real,7
minor,7
cast,7
site,7
collated,7
principal,7
russo-turkish,7
austrian,7
printout,7
roof,7
middle,7
classic,7
1986-1988,7
1986-1989,7
artificial,7
sample,7
lovely,7
conversational,7
1991-1995,7
signal,7
unrelated,7
autograph,7
boundary,7
appropriate,7
copyright,7
tall,6
funny,6
garden,6
quarterly,6
1987-1988,6
full-time,6
chronic,6
re-printed,6
full-length,6
100th,6
1994-1998,6
hunterian,6
gear,6
christian,6
5th,6
1997-1999,6
1998-1999,6
testimonial,6
height,6
graphic,6
canadian,6
timetable,6
1992-1994,6
geographical,6
proud,6
40th,6
bound,6
52-78,6
ceremonial,6
healthy,6
unravelling,6
penal,6
18th,6
reciprocal,6
2-6,6
presidential,6
eastern,6
2-8,6
conceptual,6
1979-81,6
willing,6
basement,6
approximate,6
circadian,6
alphabetical,6
continuous,6
unique,6
contractual,6
conventional,6
deep,6
critic,6
czechoslovakian,6
egyptian,6
2-5,6
safe,6
wild,6
rootlessness,6
10-15,6
cross,6
festival,6
featured,6
2007-2009,6
army,6
acclaimed,6
1-5,6
secular,6
two-year,6
estimated,6
episode,6
coastal,6
2005-2008,6
emotional,6
eleven,6
well-known,6
thin,6
12-15,6
nature,6
17th,6
one-year,6
medieval,6
occasional,6
nervous,6
north-east,6
meridian,6
standard,6
silent,6
mutual,6
meteorological,6
integral,6
superseded,6
moral,6
nuclear,6
15-17,6
level,6
18-19,6
narrative,6
malignant,6
management,6
intestinal,6
song,6
agendas,5
anti-war,5
sealed,5
explanatory,5
studio,5
twenty-five,5
latin,5
uniform,5
scrap,5
1-7,5
lead,5
"""'best""",5
anatomical,5
"""'several""",5
curved,5
approx,5
"""'urban""",5
novelist,5
involved,5
missing,5
satirical,5
advance,5
executive,5
document,5
doctoral,5
olive,5
woodcut,5
embroidered,5
"""'mary""",5
strange,5
1951-1952,5
joyce-loebl,5
type,5
eighteenth,5
epidemic,5
shorter,5
ok,5
minute,5
uncorrected,5
2003-2006,5
photocopy,5
drawing,5
"""'beautiful""",5
mounted,5
everyday,5
rectangular,5
affected,5
uncertain,5
15-18,5
copied,5
bequest,5
lyric,5
sole,5
veterinary,5
1988-1989,5
centenary,5
celebrated,5
1989-1991,5
1989-1992,5
medal,5
progress,5
progressive,5
manual,5
map,5
vertical,5
broken,5
1995-1997,5
1995-1996,5
between,5
sooty,5
provincial,5
quasi-public,5
born,5
prussian,5
weather,5
web,5
maximum,5
non,5
verse,5
cooperative,5
useable,5
postmodern,5
relative,5
notebooks,5
consultant,5
signalling,5
newborn,5
1979-1981,5
concert,5
spiritual,5
complimentary,5
spiral,5
1761-1823,5
combined,5
long-haired,5
1982-1983,5
1998-2001,5
collective,5
wet,5
literature,5
rosemary,5
newcastle,5
normal,5
co-edited,5
1997-2001,5
locational,5
"""'dear""",5
revolutionary,5
alongside,5
"""'african""",5
highlight,5
imminent,5
operational,5
initiative,5
–,5
80th,5
tree,5
finest,5
"""'little""",5
fresh,5
above,5
2015-2016,5
6-7,5
remedial,5
genetic,5
musician,5
•,5
actual,5
10th,5
fit,5
intial,5
7-8,5
hospital,5
representative,5
near,5
grant,5
tragic,5
periodical,5
3-5,5
"""'and""",5
fifth,5
institutional,5
systematic,5
reliable,5
innovative,5
concrete,4
sanctuary,4
"""'newcastle""",4
artwork,4
wide-brimmed,4
8-9,4
theatre-going,4
supernatural,4
assyrian,4
seventeen,4
1982-83,4
compact,4
mid-nineteenth,4
condensed,4
the_chief,4
linear,4
parish,4
1-9,4
pre-cast,4
connected,4
galley,4
unpaid,4
shooting,4
leopold,4
sive,4
1972-1973,4
covering,4
faxed,4
thickness,4
"""'no""",4
postcard,4
2-4,4
liaison,4
illuminated,4
suburban,4
spontaneous,4
wider,4
lithosian,4
pre-project,4
lifetime,4
armorial,4
narrow,4
precedent,4
reasonable,4
consecutive,4
inclusive,4
7-17,4
inch,4
run-down,4
ornamental,4
1990-1992,4
bear,4
canary,4
1990-2005,4
sixth,4
quo,4
imperial,4
imperative,4
1991-1993,4
weiss,4
quiet,4
hereditary,4
burial,4
5-17,4
rubbish,4
vital,4
navy,4
newcastle-upon-tyne,4
queen,4
massive,4
"""'national""",4
1992-1998,4
3-7,4
biennial,4
1994-1997,4
2nd,4
25th,4
malawian,4
2012-2013,4
seventeenth,4
neglected,4
